date,forecasted_kwh
2025-08-17,439.6920655013339
2025-08-24,327.9774488589361
2025-08-31,320.8628544601758
2025-09-07,346.0047966583358
2025-09-14,404.4386891320398
2025-09-21,293.6684240159965
2025-09-28,210.6926048534679
2025-10-05,231.26220355664515
2025-10-12,259.905485095977
2025-10-19,334.27273196238724
2025-10-26,348.94301025741805
2025-11-02,338.7968591126295
2025-11-09,422.0109168663254
2025-11-16,440.0926932549278
2025-11-23,328.2627754955387
2025-11-30,321.1293718156585
2025-12-07,346.2792051828976
2025-12-14,404.74494134130805
2025-12-21,293.880746703329
2025-12-28,210.83805110795177
2026-01-04,231.41463460170976
2026-01-11,260.06905412877717
2026-01-18,334.4735971883387
2026-01-25,349.14321654430734
2026-02-01,338.9824613311552
2026-02-08,422.2316610039863
2026-02-15,440.31249565549086
2026-02-22,328.41931851859994
2026-03-01,321.2755952213045
